Tenor,Zero-Rates,Discount
0.25,5.28954,0.986756
0.5,5.09405,0.974375
0.75,4.86165,0.964291
1,4.6355,0.954703
2,4.07435,0.921539
3,3.82564,0.891479
4,3.69911,0.862374
5,3.63921,0.833551
6,3.6194,0.804718
7,3.6154,0.77633
8,3.62122,0.748267
9,3.63306,0.720958
10,3.64923,0.694111
12,3.68784,0.642208
15,3.73073,0.571257
20,3.70684,0.47622
30,3.40743,0.35949
50,2.63373,0.267743
